City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Faya,SA,84.72,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
1,Meulaboh,ID,83.89,overcast clouds,4.1363,96.1285,Kost Pria
5,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
7,Teluk Intan,MY,87.87,overcast clouds,4.0259,101.0213,Angsoka Hotel Teluk Intan
9,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Dingle,PH,84.29,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
12,Nikolskoye,RU,79.92,broken clouds,59.7035,30.7861,Tourist House - Sablino
20,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
21,Danshui,CN,88.68,light rain,22.7984,114.4672,Grand Skylight International Hotel Huizhou
26,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Atuona,PF,76.39,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
45,Mahon,ES,82.96,few clouds,39.8885,4.2658,ARTIEM Capri
46,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
47,Hithadhoo,MV,82.26,scattered clouds,-0.6,73.0833,Scoop Guest House
54,Nuevo Progreso,MX,79.54,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
56,San Patricio,US,84.88,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
58,Wloclawek,PL,76.51,scattered clouds,52.6482,19.0678,Hotel Młyn & SPA
59,Angoche,MZ,77.07,light rain,-16.2325,39.9086,Guest House HESADA
60,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
62,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le four à pain
64,Lorengau,PG,82.26,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
65,Kushiro,JP,77.95,few clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
66,Butaritari,KI,82.27,clear sky,3.0707,172.7902,Isles Sunset Lodge
75,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
78,Thiruvananthapuram,IN,82.38,mist,8.4833,76.9167,Hotel Residency Tower
79,Zemio,CF,78.55,overcast clouds,5.0314,25.1361,OCHA Office
80,Hami,CN,88.7,clear sky,42.8,93.45,Laoyutang Resort
82,Port Elizabeth,ZA,84.31,clear sky,-33.918,25.5701,39 On Nile Guest House
