City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Faya,SA,18.3851,42.4509,84.72,32,54,7.61,broken clouds
1,Meulaboh,ID,4.1363,96.1285,83.89,67,93,7.72,overcast clouds
2,Kinston,US,35.2627,-77.5816,71.78,94,0,0.0,mist
3,Pisco,PE,-13.7,-76.2167,55.45,88,100,0.0,mist
4,Henties Bay,NA,-22.116,14.2845,59.9,72,9,3.94,clear sky
5,Cabo San Lucas,MX,22.8909,-109.9124,82.51,69,7,3.0,clear sky
6,Provideniya,RU,64.3833,-173.3,48.34,90,96,4.74,overcast clouds
7,Teluk Intan,MY,4.0259,101.0213,87.87,60,100,8.21,overcast clouds
8,Chokurdakh,RU,70.6333,147.9167,43.32,82,100,10.2,overcast clouds
9,Hilo,US,19.7297,-155.09,79.29,97,100,3.44,overcast clouds
10,Dingle,PH,10.9995,122.6711,84.29,78,100,3.24,overcast clouds
11,Upernavik,GL,72.7868,-56.1549,40.82,92,100,24.38,overcast clouds
12,Nikolskoye,RU,59.7035,30.7861,79.92,39,71,9.53,broken clouds
13,Ushuaia,AR,-54.8,-68.3,38.86,81,75,9.22,broken clouds
14,Cape Town,ZA,-33.9258,18.4232,64.38,73,75,19.57,broken clouds
15,Luderitz,NA,-26.6481,15.1594,62.85,58,0,7.54,clear sky
16,Cherskiy,RU,68.75,161.3,62.89,58,33,4.16,scattered clouds
17,Avarua,CK,-21.2078,-159.775,71.65,78,20,3.44,few clouds
18,Hobart,AU,-42.8794,147.3294,53.26,79,75,4.61,broken clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,52.88,84,0,6.91,clear sky
20,Bambous Virieux,MU,-20.3428,57.7575,75.45,53,75,16.11,broken clouds
21,Danshui,CN,22.7984,114.4672,88.68,65,100,15.21,light rain
22,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,87,78,12.95,broken clouds
23,Vaini,TO,-21.2,-175.2,69.96,94,20,5.75,few clouds
24,Tessalit,ML,20.1986,1.0114,88.97,37,58,18.75,broken clouds
25,Albany,US,42.6001,-73.9662,67.3,95,56,4.54,broken clouds
26,Kapaa,US,22.0752,-159.319,80.58,91,75,4.61,broken clouds
27,Hermanus,ZA,-34.4187,19.2345,68.81,54,100,7.02,overcast clouds
28,Tuktoyaktuk,CA,69.4541,-133.0374,50.81,78,100,13.22,overcast clouds
29,Mataura,NZ,-46.1927,168.8643,36.59,84,5,1.34,clear sky
30,Chazuta,PE,-6.5742,-76.1367,68.38,80,6,1.43,clear sky
31,Castro,BR,-24.7911,-50.0119,47.25,99,66,3.4,broken clouds
32,Ahipara,NZ,-35.1667,173.1667,56.1,76,100,6.33,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,16.11,scattered clouds
34,Lesnoye,RU,58.2841,35.5158,82.94,39,21,6.02,few clouds
35,Qaanaaq,GL,77.484,-69.3632,33.62,63,87,7.31,overcast clouds
36,Atuona,PF,-9.8,-139.0333,76.39,67,5,6.67,clear sky
37,Hibbing,US,47.4272,-92.9377,64.38,82,0,0.0,mist
38,Tasiilaq,GL,65.6145,-37.6368,35.76,74,15,3.13,few clouds
39,Mount Gambier,AU,-37.8333,140.7667,51.71,93,40,13.8,scattered clouds
40,Poum,NC,-20.2333,164.0167,75.65,73,0,18.57,clear sky
41,Busselton,AU,-33.65,115.3333,61.61,53,100,4.38,overcast clouds
42,Tiksi,RU,71.6872,128.8694,44.73,74,93,6.29,overcast clouds
43,Dalby,AU,-27.1833,151.2667,50.47,42,0,11.77,clear sky
44,New Norfolk,AU,-42.7826,147.0587,52.92,81,100,1.99,overcast clouds
45,Mahon,ES,39.8885,4.2658,82.96,61,20,9.22,few clouds
46,Mazagao,BR,-0.115,-51.2894,77.05,95,100,3.38,overcast clouds
47,Hithadhoo,MV,-0.6,73.0833,82.26,73,48,10.51,scattered clouds
48,Nanortalik,GL,60.1432,-45.2371,42.89,90,90,7.49,overcast clouds
49,Talnakh,RU,69.4865,88.3972,56.21,95,100,11.1,light rain
50,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.77,89,47,4.65,scattered clouds
51,Norman Wells,CA,65.282,-126.8329,59.04,77,75,4.61,broken clouds
52,Mizan Teferi,ET,6.9833,35.5833,66.74,91,55,1.48,moderate rain
53,Half Moon Bay,US,37.4636,-122.4286,63.1,91,100,9.22,mist
54,Nuevo Progreso,MX,23.1667,-97.95,79.54,73,95,5.79,overcast clouds
55,Torbay,CA,47.6666,-52.7314,66.16,96,100,14.97,light rain
56,San Patricio,US,28.017,-97.5169,84.88,82,99,1.23,overcast clouds
57,Touros,BR,-5.1989,-35.4608,71.71,93,66,13.33,broken clouds
58,Wloclawek,PL,52.6482,19.0678,76.51,58,35,4.92,scattered clouds
59,Angoche,MZ,-16.2325,39.9086,77.07,67,63,12.75,light rain
60,Kahului,US,20.8947,-156.47,80.62,79,40,5.75,scattered clouds
61,Longyearbyen,SJ,78.2186,15.6401,42.64,75,75,14.97,broken clouds
62,Saint-Philippe,RE,-21.3585,55.7679,76.59,66,47,13.18,scattered clouds
63,Batagay-Alyta,RU,67.8006,130.4114,47.84,73,100,9.55,overcast clouds
64,Lorengau,PG,-2.0226,147.2712,82.26,69,35,6.04,scattered clouds
65,Kushiro,JP,42.975,144.3747,77.95,53,20,6.91,few clouds
66,Butaritari,KI,3.0707,172.7902,82.27,69,7,12.15,clear sky
67,Elat,IL,29.5581,34.9482,91.24,43,0,5.75,clear sky
68,Grindavik,IS,63.8424,-22.4338,48.67,87,20,18.41,few clouds
69,Tuy Hoa,VN,13.0833,109.3,91.42,55,98,6.44,overcast clouds
70,Farah,AF,32.5,62.5,87.78,8,0,7.49,clear sky
71,Coquimbo,CL,-29.9533,-71.3436,51.53,100,100,2.3,overcast clouds
72,Rikitea,PF,-23.1203,-134.9692,70.79,70,11,14.29,few clouds
73,Puerto Ayora,EC,-0.7393,-90.3518,66.54,88,59,5.01,broken clouds
74,College,US,64.8569,-147.8028,55.98,80,75,3.44,broken clouds
75,East London,ZA,-33.0153,27.9116,83.34,26,0,14.97,clear sky
76,Puyo,EC,-1.4667,-77.9833,58.57,96,6,3.65,clear sky
77,Geraldton,AU,-28.7667,114.6,72.01,37,98,6.91,overcast clouds
78,Thiruvananthapuram,IN,8.4833,76.9167,82.38,78,100,11.5,mist
79,Zemio,CF,5.0314,25.1361,78.55,68,90,0.18,overcast clouds
80,Hami,CN,42.8,93.45,88.7,11,5,8.21,clear sky
81,Saskylakh,RU,71.9167,114.0833,45.75,60,77,2.95,broken clouds
82,Port Elizabeth,ZA,-33.918,25.5701,84.31,32,0,6.91,clear sky
83,Vega De Alatorre,MX,20.0333,-96.6333,79.47,80,15,6.35,few clouds
84,Tuatapere,NZ,-46.1333,167.6833,40.77,77,6,3.24,clear sky
85,Clyde River,CA,70.4692,-68.5914,34.03,100,100,10.36,light rain
86,Mende,FR,44.6667,3.5,66.9,54,80,3.13,broken clouds
87,Altamont,US,42.2068,-121.7372,63.77,72,0,0.0,clear sky
88,Grants Pass,US,42.439,-123.3284,68.59,66,0,0.0,clear sky
89,Champerico,GT,14.3,-91.9167,77.27,85,21,3.94,few clouds
90,Lavrentiya,RU,65.5833,-171.0,42.89,89,77,6.76,broken clouds
91,Mandera,KE,3.9366,41.867,82.04,51,94,21.61,overcast clouds
92,Fortuna,US,40.5982,-124.1573,59.34,92,99,0.67,overcast clouds
93,Fagernes,NO,60.9858,9.2324,66.92,71,99,3.13,overcast clouds
94,Northam,GB,51.0333,-4.2167,64.62,97,100,4.32,overcast clouds
95,Lata,PT,40.1629,-8.3327,68.45,79,63,2.39,broken clouds
96,Vila Velha,BR,-20.3297,-40.2925,63.95,94,75,2.3,broken clouds
97,Bengkulu,ID,-3.8004,102.2655,83.43,69,91,7.87,overcast clouds
98,Huambo,AO,-12.7761,15.7392,71.91,28,81,5.61,broken clouds
99,Pedernales,DO,18.0384,-71.744,80.35,71,100,4.03,overcast clouds
100,Ribeira Grande,PT,38.5167,-28.7,70.2,83,20,4.61,few clouds
101,Bluff,NZ,-46.6,168.3333,46.96,60,26,12.21,scattered clouds
102,Bubaque,GW,11.2833,-15.8333,80.82,80,100,11.01,overcast clouds
103,Yellowknife,CA,62.456,-114.3525,54.12,66,75,10.36,broken clouds
104,Chicama,PE,-7.8447,-79.1469,57.74,90,45,4.12,scattered clouds
105,Mount Isa,AU,-20.7333,139.5,64.17,15,0,17.27,clear sky
106,Necochea,AR,-38.5473,-58.7368,50.72,67,100,9.24,overcast clouds
107,Otukpo,NG,7.1913,8.1329,72.86,93,100,3.85,light rain
108,Chiang Khong,TH,20.2613,100.4046,94.39,47,53,3.38,broken clouds
109,Nabire,ID,-3.3667,135.4833,80.19,83,94,2.04,overcast clouds
110,Singapore,SG,1.2897,103.8501,89.55,60,75,9.22,broken clouds
111,Georgetown,MY,5.4112,100.3354,87.89,74,20,5.75,thunderstorm
112,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.0,100,100,3.44,mist
113,Gat,IL,31.61,34.7642,91.4,32,0,4.54,clear sky
114,Condoto,CO,5.0935,-76.6497,71.65,98,94,1.79,overcast clouds
115,Jamestown,US,42.097,-79.2353,63.72,74,75,3.44,fog
116,Lebu,CL,-37.6167,-73.65,46.9,86,87,12.68,overcast clouds
117,Esperance,AU,-33.8667,121.9,55.96,66,57,10.71,broken clouds
118,Cody,US,44.5263,-109.0565,64.02,82,0,4.61,clear sky
119,Verkhnevilyuysk,RU,63.4453,120.3167,47.86,85,100,6.33,overcast clouds
120,Sri Aman,MY,1.2376,111.4621,91.45,62,40,0.0,scattered clouds
121,Port-Gentil,GA,-0.7193,8.7815,78.76,78,75,4.61,broken clouds
122,Launceston,AU,-41.45,147.1667,53.8,84,75,8.05,broken clouds
123,Pevek,RU,69.7008,170.3133,48.09,76,99,7.34,overcast clouds
124,Ilam,NP,26.9167,87.9167,78.39,84,75,3.83,broken clouds
125,Bredasdorp,ZA,-34.5322,20.0403,69.93,36,100,4.83,overcast clouds
126,Lac Du Bonnet,CA,50.2536,-96.0612,58.82,87,81,1.81,broken clouds
127,Saint-Augustin,CA,51.226,-58.6502,60.44,94,100,5.19,overcast clouds
128,Mehamn,NO,71.0357,27.8492,49.95,71,75,11.5,broken clouds
129,Tateyama,JP,34.9833,139.8667,79.11,84,100,10.04,moderate rain
130,Kavieng,PG,-2.5744,150.7967,82.67,68,45,5.66,scattered clouds
131,Srednekolymsk,RU,67.45,153.6833,50.88,89,100,8.43,overcast clouds
132,Portland,US,45.5234,-122.6762,69.75,75,0,4.0,clear sky
133,Barrow,US,71.2906,-156.7887,42.44,93,100,10.31,overcast clouds
134,Olimpia,BR,-20.7372,-48.9147,60.69,63,42,6.93,scattered clouds
135,Batemans Bay,AU,-35.7167,150.1833,54.1,62,92,1.28,overcast clouds
136,Young,UY,-32.6833,-57.6333,57.52,85,71,5.7,broken clouds
137,Saint George,US,37.1041,-113.5841,82.99,37,0,4.61,clear sky
138,Ardatov,RU,55.2421,43.097,75.76,47,98,4.45,overcast clouds
139,Bethel,US,41.3712,-73.414,69.66,85,0,4.61,clear sky
140,Carnarvon,AU,-24.8667,113.6333,77.16,27,20,6.8,few clouds
141,Port Alfred,ZA,-33.5906,26.891,77.25,39,20,10.54,few clouds
142,Evensk,RU,61.95,159.2333,53.44,94,100,30.65,heavy intensity rain
143,Husavik,IS,66.0449,-17.3389,46.65,89,100,4.29,overcast clouds
144,Lagoa,PT,39.05,-27.9833,72.45,74,100,4.07,light rain
145,Chara,RU,56.9064,118.2631,55.35,71,100,5.99,light rain
146,Isangel,VU,-19.55,169.2667,73.94,82,0,6.6,clear sky
147,Caravelas,BR,-17.7125,-39.2481,65.34,92,8,2.53,clear sky
148,Dhandhuka,IN,22.3667,71.9833,88.79,55,92,11.39,overcast clouds
149,Bolkhov,RU,53.4433,36.0044,78.8,32,74,10.33,broken clouds
150,Charters Towers,AU,-20.1,146.2667,64.99,35,0,12.01,clear sky
151,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,11.5,few clouds
152,Quatre Cocos,MU,-20.2078,57.7625,76.08,64,92,17.63,overcast clouds
153,Revelstoke,CA,50.9832,-118.2023,64.42,82,75,0.0,haze
154,Bayanday,RU,53.0661,105.5139,52.47,65,100,12.35,light rain
155,Ponta Do Sol,PT,32.6667,-17.1,73.0,77,8,4.16,clear sky
156,Bardiyah,LY,31.7561,25.0865,81.61,59,0,8.61,clear sky
157,Hundested,DK,55.9667,11.8667,73.81,66,69,10.6,broken clouds
158,Kalmunai,LK,7.4167,81.8167,91.89,50,97,5.64,overcast clouds
159,San Cristobal,VE,7.7669,-72.225,63.79,98,70,3.38,broken clouds
160,Constitucion,CL,-35.3333,-72.4167,50.88,79,100,6.22,overcast clouds
161,Mecca,SA,21.4267,39.8261,110.12,8,8,10.6,clear sky
162,Tampin,MY,2.4701,102.2302,89.02,59,100,6.33,overcast clouds
163,Paamiut,GL,61.994,-49.6678,42.69,91,51,4.56,broken clouds
164,Morbegno,IT,46.1383,9.57,81.52,50,11,2.35,few clouds
165,Bay Roberts,CA,47.5999,-53.2648,66.15,98,100,1.01,light rain
166,Lakatoro,VU,-16.0999,167.4164,78.04,82,11,10.09,few clouds
167,Mayo,US,38.8876,-76.5119,74.1,87,0,3.44,clear sky
168,Mandurah,AU,-32.55,115.7,63.91,54,100,11.25,overcast clouds
169,Mansa,IN,29.9833,75.3833,90.79,55,87,12.39,overcast clouds
170,Malakal,SS,9.5334,31.6605,72.01,94,100,2.35,light rain
171,Kolyvan,RU,55.3053,82.7391,73.02,42,12,6.26,few clouds
172,Jarvakandi,EE,58.7789,24.8258,74.95,55,90,3.8,overcast clouds
173,Khatanga,RU,71.9667,102.5,44.71,87,100,11.36,light rain
174,Katobu,ID,-4.9408,122.5276,83.52,62,92,9.62,overcast clouds
175,Alamosa,US,37.4695,-105.87,53.58,87,0,6.91,clear sky
176,Mincivan,AZ,39.0294,46.7185,84.09,26,0,6.91,clear sky
177,Chifeng,CN,42.2683,118.9636,79.47,27,94,6.91,overcast clouds
178,Guayaramerin,BO,-10.8368,-65.3614,71.01,57,65,2.13,broken clouds
179,Black Diamond,US,47.3087,-122.0032,66.0,83,4,1.01,clear sky
180,Perpignan,FR,42.75,2.75,82.04,45,0,5.75,clear sky
181,Nizhniy Kuranakh,RU,58.8353,125.4869,56.05,62,86,6.51,overcast clouds
182,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,80.42,46,5,5.39,clear sky
183,Carutapera,BR,-1.195,-46.02,76.91,87,89,8.28,overcast clouds
184,Dibulla,CO,11.2725,-73.3091,76.8,78,89,3.65,overcast clouds
185,San Quintin,MX,30.4833,-115.95,70.61,81,0,4.09,clear sky
186,Jacqueville,CI,5.2052,-4.4146,74.75,88,100,8.97,light rain
187,Wanning,CN,18.8003,110.3967,86.95,74,100,1.45,moderate rain
188,Baykit,RU,61.67,96.37,53.4,92,100,3.33,overcast clouds
189,Yulara,AU,-25.2406,130.9889,63.01,20,0,16.46,clear sky
190,Sisimiut,GL,66.9395,-53.6735,42.75,74,100,10.25,overcast clouds
191,Mikuni,JP,36.2171,136.1519,80.51,78,100,13.35,overcast clouds
192,Smithers,CA,54.7804,-127.1743,59.32,100,0,2.3,clear sky
193,Onega,RU,63.9061,38.1404,64.09,60,100,4.54,overcast clouds
194,Cadillac,US,44.2519,-85.4012,57.11,94,0,0.0,clear sky
195,Gwadar,PK,25.1216,62.3254,84.87,71,90,9.8,overcast clouds
196,Pinawa,CA,50.1489,-95.8811,59.79,87,94,2.08,overcast clouds
197,Dikson,RU,73.5069,80.5464,42.13,92,100,17.38,overcast clouds
198,Palmas,BR,-10.2128,-48.3603,73.27,60,0,5.75,clear sky
199,Manokwari,ID,-0.8667,134.0833,82.8,72,100,8.88,overcast clouds
200,Muravlenko,RU,63.7898,74.523,76.21,41,62,17.56,broken clouds
201,Kathu,TH,7.9178,98.3332,87.62,99,64,12.93,light rain
202,Faanui,PF,-16.4833,-151.75,77.38,75,6,10.04,clear sky
203,Jining,CN,35.405,116.5814,81.93,45,57,2.95,broken clouds
204,Iqaluit,CA,63.7506,-68.5145,37.13,100,100,9.22,light rain
205,Acapulco,MX,16.8634,-99.8901,80.42,83,0,3.44,clear sky
206,Okhotsk,RU,59.3833,143.3,62.46,71,100,6.71,light rain
207,San Lorenzo,PY,-25.3333,-57.5333,70.74,60,0,8.05,clear sky
208,Opuwo,NA,-18.0607,13.84,75.43,15,3,11.86,clear sky
209,Hualmay,PE,-11.0964,-77.6139,59.92,86,34,8.68,scattered clouds
210,Sinnamary,GF,5.3833,-52.95,75.78,88,100,6.44,overcast clouds
211,Port Hardy,CA,50.6996,-127.4199,57.2,100,0,3.44,clear sky
212,Hovd,MN,48.0056,91.6419,67.19,25,0,8.16,clear sky
213,Vikulovo,RU,56.8167,70.6107,74.89,52,24,6.06,few clouds
214,Sao Filipe,CV,14.8961,-24.4956,78.22,87,93,12.35,overcast clouds
215,Marystown,CA,47.1666,-55.1483,66.92,97,100,13.6,overcast clouds
216,Matadi,CD,-5.8167,13.45,78.35,62,33,4.5,scattered clouds
217,Awjilah,LY,29.1081,21.2869,86.0,45,0,7.9,clear sky
218,Ventspils,LV,57.3894,21.5606,67.93,94,0,4.61,moderate rain
219,Kargasok,RU,59.0556,80.8572,74.95,50,46,10.87,scattered clouds
220,Vung Tau,VN,10.346,107.0843,85.46,71,100,8.03,overcast clouds
221,Mahebourg,MU,-20.4081,57.7,75.49,53,75,16.11,broken clouds
222,Baoqing,CN,46.3317,132.2111,71.35,60,100,4.29,overcast clouds
223,Mackay,AU,-21.15,149.2,59.68,51,0,18.88,clear sky
224,Chernoyerkovskaya,RU,45.4331,37.7686,85.78,33,18,19.73,few clouds
225,Negombo,LK,7.2083,79.8358,86.05,66,40,9.22,scattered clouds
226,Sunyani,GH,7.3399,-2.3268,70.39,95,100,5.37,overcast clouds
227,Laguna,US,38.421,-121.4238,78.17,61,0,8.05,clear sky
228,Tonantins,BR,-2.8731,-67.8022,70.09,80,64,3.02,broken clouds
229,Verkh-Usugli,RU,52.7,115.1667,58.57,46,99,11.16,overcast clouds
230,Mitsamiouli,KM,-11.3847,43.2844,77.85,70,78,10.0,broken clouds
231,Cidreira,BR,-30.1811,-50.2056,58.55,93,97,12.06,overcast clouds
232,Roald,NO,62.5833,6.1333,69.17,67,0,6.91,clear sky
233,Teguise,ES,29.0605,-13.564,70.02,78,40,20.71,scattered clouds
234,Humaita,BR,-7.5061,-63.0208,70.41,54,5,1.25,clear sky
235,Severo-Kurilsk,RU,50.6789,156.125,55.26,87,25,19.57,scattered clouds
236,Helong,CN,42.5397,128.9972,72.88,52,14,5.73,few clouds
237,Ilulissat,GL,69.2167,-51.1,46.42,61,100,13.8,overcast clouds
238,Cairns,AU,-16.9167,145.7667,75.07,64,2,16.11,clear sky
239,Samarai,PG,-10.6167,150.6667,80.56,81,100,12.17,overcast clouds
240,Belaya Gora,RU,68.5333,146.4167,48.34,73,100,10.92,overcast clouds
241,Ancud,CL,-41.8697,-73.8203,38.23,78,9,1.12,clear sky
242,Sorland,NO,67.667,12.6934,53.46,75,21,14.16,few clouds
243,Nantucket,US,41.2835,-70.0995,75.31,100,20,5.75,mist
244,Weiser,US,44.251,-116.9693,77.9,40,1,4.0,clear sky
245,Prainha,BR,-1.8,-53.48,73.71,82,59,2.55,broken clouds
246,Bria,CF,6.5423,21.9863,78.66,69,74,4.65,broken clouds
247,Daru,PG,-9.0763,143.2092,76.5,92,92,15.43,light rain
248,Acari,PE,-15.4311,-74.6158,61.75,68,90,2.13,overcast clouds
249,Alekseyevsk,RU,57.8406,108.3492,51.66,77,98,2.04,light rain
250,Gushikawa,JP,26.3544,127.8686,89.6,70,0,12.66,clear sky
251,Diffa,NE,13.3154,12.6113,85.01,59,88,17.6,overcast clouds
252,Pangnirtung,CA,66.1451,-65.7125,41.77,97,100,7.16,light rain
253,Wajir,KE,1.7471,40.0573,81.68,49,100,19.98,overcast clouds
254,Sobolevo,RU,54.4299,31.8996,77.83,40,8,9.91,clear sky
255,Mildura,AU,-34.2,142.15,55.08,68,99,12.17,overcast clouds
256,Hirna,ET,9.2167,41.1,68.45,65,95,3.4,light rain
257,Katsuura,JP,35.1333,140.3,78.3,92,100,13.96,heavy intensity rain
258,Bongandanga,CD,1.5,21.05,88.07,44,48,2.28,scattered clouds
259,Kandrian,PG,-6.2167,149.55,79.39,82,91,6.13,overcast clouds
260,Tautira,PF,-17.7333,-149.15,75.99,79,84,17.63,broken clouds
261,Kiama,AU,-34.6833,150.8667,55.99,72,38,4.92,scattered clouds
262,Barentu,ER,15.1139,37.5928,84.25,54,79,7.74,broken clouds
263,Thompson,CA,55.7435,-97.8558,32.16,93,0,0.0,clear sky
264,Matamoros,MX,25.5333,-103.25,76.59,60,100,2.84,overcast clouds
265,Bodden Town,KY,19.2833,-81.25,81.93,82,8,10.09,clear sky
266,Westport,US,41.1415,-73.3579,72.79,85,0,6.91,clear sky
267,Codrington,AU,-38.2667,141.9667,51.62,94,100,16.55,overcast clouds
268,Victoria,HK,22.2855,114.1577,93.25,77,100,11.01,overcast clouds
