City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mongui,CO,2022-08-23 07:07:15,5.7215,-72.8491,41.4,93,100,1.83
1,Vardo,NO,2022-08-23 07:03:10,70.3705,31.1107,57.18,67,0,24.16
2,Mar Del Plata,AR,2022-08-23 07:07:16,-38.0023,-57.5575,47.08,96,100,6.91
3,Talara,PE,2022-08-23 07:07:17,-4.5772,-81.2719,64.51,80,17,13.13
4,Taunggyi,MM,2022-08-23 07:07:18,20.7833,97.0333,75.56,75,64,6.44
5,Cape Town,ZA,2022-08-23 07:07:18,-33.9258,18.4232,67.12,68,0,4.61
6,Buzmeyin,TM,2022-08-23 07:07:19,38.0507,58.2056,82.83,10,0,4.94
7,Oussouye,SN,2022-08-23 07:07:19,12.485,-16.5469,77.43,86,83,4.5
8,Albany,US,2022-08-23 07:02:37,42.6001,-73.9662,69.26,89,100,2.1
9,Castro,BR,2022-08-23 07:07:20,-24.7911,-50.0119,45.97,98,25,3.4
10,Nanortalik,GL,2022-08-23 07:07:21,60.1432,-45.2371,42.96,76,100,18.43
11,Prince Rupert,CA,2022-08-23 07:03:30,54.3161,-130.3201,59.59,95,91,0.81
12,Thompson,CA,2022-08-23 07:03:42,55.7435,-97.8558,53.94,59,0,8.19
13,Barrow,US,2022-08-23 07:07:22,71.2906,-156.7887,35.73,89,100,23.47
14,Daytona Beach,US,2022-08-23 07:04:28,29.2108,-81.0228,80.1,91,100,3.0
15,Longyearbyen,SJ,2022-08-23 07:07:23,78.2186,15.6401,39.04,65,75,19.57
16,Rabo De Peixe,PT,2022-08-23 07:07:24,37.8,-25.5833,72.28,71,75,3.44
17,Gizo,SB,2022-08-23 07:07:24,-8.103,156.8419,82.76,72,18,5.12
18,Butaritari,KI,2022-08-23 07:07:25,3.0707,172.7902,82.56,74,87,16.89
19,Erzin,TR,2022-08-23 07:07:26,36.9559,36.2,80.82,74,100,5.5
20,Tuktoyaktuk,CA,2022-08-23 07:03:17,69.4541,-133.0374,42.93,74,100,20.54
21,Victoria,HK,2022-08-23 07:03:00,22.2855,114.1577,97.97,71,8,7.0
22,Codrington,AU,2022-08-23 07:07:27,-38.2667,141.9667,49.91,71,74,14.72
23,Padang,ID,2022-08-23 07:07:27,-0.9492,100.3543,86.05,81,100,7.83
24,Katsuura,JP,2022-08-23 07:07:28,35.1333,140.3,82.42,88,99,12.91
25,Tura,IN,2022-08-23 07:07:28,25.5198,90.2201,84.63,80,100,1.77
26,Lompoc,US,2022-08-23 07:07:29,34.6391,-120.4579,61.52,93,100,3.44
27,Vrnjacka Banja,RS,2022-08-23 07:07:30,43.6167,20.9,67.23,96,100,3.06
28,Puerto Escondido,MX,2022-08-23 07:05:19,15.85,-97.0667,77.23,88,45,4.07
29,Kilrush,IE,2022-08-23 07:07:31,52.6397,-9.4833,58.75,89,100,9.31
30,Deputatskiy,RU,2022-08-23 07:07:32,69.3,139.9,44.11,80,100,7.81
31,Esso,RU,2022-08-23 07:07:33,55.9333,158.7,63.45,65,100,2.82
